question,ground_truth
Việt Nam có chấp nhận hôn nhân đồng giới không?,"Theo khoản 3 Điều 3 Luật Hôn nhân và gia đình 2014 quy định về chế độ hôn nhân và gia đình như sau:

Giải thích từ ngữ

Trong Luật này, các từ ngữ dưới đây được hiểu như sau:

1. Hôn nhân là quan hệ giữa vợ và chồng sau khi kết hôn.

2. Gia đình là tập hợp những người gắn bó với nhau do hôn nhân, quan hệ huyết thống hoặc quan hệ nuôi dưỡng, làm phát sinh các quyền và nghĩa vụ giữa họ với nhau theo quy định của Luật này.

3. Chế độ hôn nhân và gia đình là toàn bộ những quy định của pháp luật về kết hôn, ly hôn; quyền và nghĩa vụ giữa vợ và chồng, giữa cha mẹ và con, giữa các thành viên khác trong gia đình; cấp dưỡng; xác định cha, mẹ, con; quan hệ hôn nhân và gia đình có yếu tố nước ngoài và những vấn đề khác liên quan đến hôn nhân và gia đình.

...

Căn cứ theo quy định tại Điều 8 Luật Hôn nhân và gia đình 2014 về điều kiện kết hôn như sau:

Điều kiện kết hôn

1. Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

b) Việc kết hôn do nam và nữ tự nguyện quyết định;

c) Không bị mất năng lực hành vi dân sự;

d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này.

2. Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Theo đó tại Luật Hôn nhân và gia đình 2014 đang có hiệu lực thi hành điều chỉnh những vẫn đề liên quan đến chế độ hôn nhân và gia đình hiện nay đã nêu rõ rằng Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính tức là không thừa nhận hôn nhân đồng giới

Tuy nhiên theo quy định cũng đã nêu rõ, Nhà nước không thừa nhận hôn nhân đồng giới chứ không cấm hôn nhân đồng giới

Tức là các cặp vợ chồng đồng giới đang sinh sống tại Việt Nam và đã kết hôn hợp pháp theo quy định của pháp luật nước ngoài thì cũng không phải là vi phạm pháp luật Việt Nam"
Những điều cấm trong bảo vệ hôn nhân và gia đình Việt Nam là gì?,"Theo khoản 2 Điều 5 Luật Hôn nhân và gia đình 2014 quy định về những điều cấm trong bảo vệ hôn nhân và gia đình như sau:

- Kết hôn giả tạo, ly hôn giả tạo;

- Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

- Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

- Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

- Yêu sách của cải trong kết hôn;

- Cưỡng ép ly hôn, lừa dối ly hôn, cản trở ly hôn;

- Thực hiện sinh con bằng kỹ thuật hỗ trợ sinh sản vì mục đích thương mại, mang thai hộ vì mục đích thương mại, lựa chọn giới tính thai nhi, sinh sản vô tính;

- Bạo lực gia đình;

- Lợi dụng việc thực hiện quyền về hôn nhân và gia đình để mua bán người, bóc lột sức lao động, xâm phạm tình dục hoặc có hành vi khác nhằm mục đích trục lợi.

Trân trọng!"
Luật hôn nhân và gia đình được áp dụng năm 2024 là luật nào?,"Ngày 19/06/2014, Quốc hội ban hành Luật Hôn nhân và gia đình 2014 và có hiệu lực kể từ 01/01/2015.

Luật Hôn nhân và gia đình 2014 quy định chế độ hôn nhân và gia đình; chuẩn mực pháp lý cho cách ứng xử giữa các thành viên gia đình; trách nhiệm của cá nhân, tổ chức, Nhà nước và xã hội trong việc xây dựng, củng cố chế độ hôn nhân và gia đình.

Đến tháng 12/2023, chưa có văn bản nào được ban hành nhằm thay thế Luật Hôn nhân và gia đình 2014 . Như vậy, Luật Hôn nhân và gia đình được áp dụng năm 2024 là Luật Hôn nhân và gia đình 2014 .

Các văn bảo hướng dẫn thi hành Luật Hôn nhân và gia đình 2014 , bao gồm:

Văn bản bị thay thế Luật Hôn nhân và Gia đình 2000 Văn bản được dẫn chiếu Luật Nuôi con nuôi 2010 Bộ luật Dân sự 2005 (hết hiệu lực được thay thế bởi Bộ luật Dân sự 2015 ) Bộ luật Tố tụng dân sự 2004 (hết hiệu lực được thay thế bởi Bộ luật Tố tụng dân sự 2015 ) Văn bản được căn cứ Hiến pháp 2013 Văn bản hướng dẫn Nghị định 82/2020/NĐ-CP quy định về xử phạt vi phạm hành chính trong lĩnh vực bổ trợ tư pháp; hành chính tư pháp; hôn nhân và gia đình; thi hành án dân sự; phá sản doanh nghiệp, hợp tác xã Nghị định 98/2016/NĐ-CP sửa đổi Nghị định 10/2015/NĐ-CP quy định về sinh con bằng kỹ thuật thụ tinh trong ống nghiệm và điều kiện mang thai hộ vì mục đích nhân đạo Thông tư liên tịch 01/2016/TTLT-TANDTC-VKSNDTC-BTP hướng dẫn thi hành quy định của Luật hôn nhân và gia đình do Chánh án Tòa án nhân dân tối cao - Viện trưởng Viện kiểm sát nhân dân tối cao - Bộ trưởng Bộ Tư pháp ban hành Nghị định 123/2015/NĐ-CP hướng dẫn Luật hộ tịch Nghị định 10/2015/NĐ-CP quy định về sinh con bằng kỹ thuật thụ tinh trong ống nghiệm và điều kiện mang thai hộ vì mục đích nhân đạo Nghị định 126/2014/NĐ-CP hướng dẫn thi hành Luật Hôn nhân và gia đình"
Các hành vi nào bị nghiêm cấm nhằm bảo vệ chế độ hôn nhân và gia đình?,"Căn cứ Điều 5 Luật Hôn nhân và gia đình 2014 quy định bảo vệ chế độ hôn nhân và gia đình:

Bảo vệ chế độ hôn nhân và gia đình

1. Quan hệ hôn nhân và gia đình được xác lập, thực hiện theo quy định của Luật này được tôn trọng và được pháp luật bảo vệ.

2. Cấm các hành vi sau đây:

a) Kết hôn giả tạo, ly hôn giả tạo;

b) Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

c) Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

...

Theo đó, nhằm bảo vệ chế độ hôn nhân và gia đình thì nghiêm cấm thực hiện các hành vi sau:

- Kết hôn giả tạo, ly hôn giả tạo;

- Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

- Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

- Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ;

- Kết hôn hoặc chung sống như vợ chồng giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi;

- Kết hôn hoặc chung sống như vợ chồng giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

- Yêu sách của cải trong kết hôn;

- Cưỡng ép ly hôn, lừa dối ly hôn, cản trở ly hôn;

- Thực hiện sinh con bằng kỹ thuật hỗ trợ sinh sản vì mục đích thương mại, mang thai hộ vì mục đích thương mại, lựa chọn giới tính thai nhi, sinh sản vô tính

- Bạo lực gia đình;

- Lợi dụng việc thực hiện quyền về hôn nhân và gia đình để mua bán người, bóc lột sức lao động, xâm phạm tình dục hoặc có hành vi khác nhằm mục đích trục lợi."
Điều kiện kết hôn theo quy định Luật Hôn nhân gia đình 2014?,"Căn cứ Điều 8 Luật Hôn nhân và gia đình 2014 quy định điều kiện kết hôn:

Điều kiện kết hôn

1. Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

b) Việc kết hôn do nam và nữ tự nguyện quyết định;

c) Không bị mất năng lực hành vi dân sự;

d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này.

2. Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Theo đó, điều kiện kết hôn theo quy định Luật Hôn nhân và gia đình 2014 như sau:

- Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

- Việc kết hôn do nam và nữ tự nguyện quyết định;

- Không bị mất năng lực hành vi dân sự;

- Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn sau:

+ Kết hôn giả tạo, ly hôn giả tạo;

+ Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

+ Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

+ Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

Lưu ý : Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Trân trọng!"
Có bắt buộc phải xét nghiệm HIV trước khi kết hôn hay không?,"Căn cứ quy định Điều 13 Luật Phòng, chống nhiễm vi rút gây ra hội chứng suy giảm miễn dịch mắc phải ở người (HIV/AIDS) 2006 quy định về phòng, chống HIV/AIDS tại gia đình như sau:

Phòng, chống HIV/AIDS tại gia đình

1. Gia đình có trách nhiệm tuyên truyền, giáo dục cho các thành viên trong gia đình về phòng, chống HIV/AIDS, chủ động thực hiện các biện pháp phòng lây nhiễm HIV.

2. Khuyến khích tự nguyện xét nghiệm HIV đối với người trước khi kết hôn, dự định có con, phụ nữ mang thai.

3. Gia đình của người nhiễm HIV có trách nhiệm nuôi dưỡng, chăm sóc, động viên tinh thần giúp người nhiễm HIV sống hoà nhập với gia đình, cộng đồng và xã hội; phối hợp với các cơ quan, tổ chức và cộng đồng trong phòng, chống HIV/AIDS.

Căn cứ quy định Điều 28 Luật Phòng, chống nhiễm vi rút gây ra hội chứng suy giảm miễn dịch mắc phải ở người (HIV/AIDS) 2006 quy định về xét nghiệm HIV bắt buộc như sau:

Xét nghiệm HIV bắt buộc

1. Xét nghiệm HIV bắt buộc đối với trường hợp có trưng cầu giám định tư pháp hoặc quyết định của Cơ quan điều tra, Viện kiểm sát nhân dân hoặc Toà án nhân dân.

2. Bộ trưởng Bộ Y tế quy định việc xét nghiệm HIV bắt buộc trong một số trường hợp cần thiết để chẩn đoán và điều trị cho người bệnh.

3. Chính phủ quy định danh mục một số nghề phải xét nghiệm HIV trước khi tuyển dụng.

4. Kinh phí xét nghiệm đối với các trường hợp quy định tại khoản 1 Điều này do ngân sách nhà nước chi trả.

Như vậy, theo quy định hiện nay thì pháp luật chỉ khuyến khích tự nguyện xét nghiệm HIV đối với người trước khi kết hôn, dự định có con, phụ nữ mang thai.

Do đó, pháp luật không bắt buộc phải thực hiện xét nghiệm trước khi kết hôn.

Tuy nhiên, để tránh các trường hợp ngoài ý muốn thì các cặp đôi trước khi kết hôn nên tự nguyện đi xét nghiệm HIV."
Xét nghiệm HIV tự nguyện được quy định như thế nào?,"Căn quy định Điều 27 Luật Phòng, chống nhiễm vi rút gây ra hội chứng suy giảm miễn dịch mắc phải ở người (HIV/AIDS) 2006 được sửa đổi bởi khoản 8 Điều 1 Luật Phòng, chống nhiễm vi rút gây ra hội chứng suy giảm miễn dịch mắc phải ở người (HIV/AIDS) sửa đổi 2020 quy định về xét nghiệm HIV tự nguyện như sau:

Xét nghiệm HIV tự nguyện

1. Việc xét nghiệm HIV được thực hiện trên cơ sở tự nguyện của người được xét nghiệm.

2. Người từ đủ 15 tuổi trở lên và có năng lực hành vi dân sự được tự nguyện yêu cầu xét nghiệm HIV.

3. Việc xét nghiệm HIV đối với người dưới 15 tuổi, người mất năng lực hành vi dân sự, người có khó khăn trong nhận thức, làm chủ hành vi và người bị hạn chế năng lực hành vi dân sự chỉ được thực hiện khi có sự đồng ý bằng văn bản của cha, mẹ hoặc người giám hộ, người đại diện của người đó.

Như vậy, xét nghiệm HIV tự nguyện được quy định như sau:

- Việc xét nghiệm HIV được thực hiện trên cơ sở tự nguyện của người được xét nghiệm.

- Người từ đủ 15 tuổi trở lên và có năng lực hành vi dân sự được tự nguyện yêu cầu xét nghiệm HIV.

- Việc xét nghiệm HIV đối với người dưới 15 tuổi, người mất năng lực hành vi dân sự, người có khó khăn trong nhận thức, làm chủ hành vi và người bị hạn chế năng lực hành vi dân sự chỉ được thực hiện khi có sự đồng ý bằng văn bản của cha, mẹ hoặc người giám hộ, người đại diện của người đó."
Kết quả xét nghiệm HIV dương tính chỉ được thông báo cho những người nào?,"Căn cứ quy định khoản 2 Điều 30 Luật Phòng, chống nhiễm vi rút gây ra hội chứng suy giảm miễn dịch mắc phải ở người (HIV/AIDS) 2006 được sửa đổi bởi Khoản 10 Điều 1 Luật Phòng, chống nhiễm vi rút gây ra hội chứng suy giảm miễn dịch mắc phải ở người (HIV/AIDS) sửa đổi 2020 có quy định kết quả xét nghiệm HIV dương tính chỉ được thông báo cho những người sau đây:

- Người được xét nghiệm;

- Vợ hoặc chồng của người được xét nghiệm; cha, mẹ hoặc người giám hộ, người đại diện của người được xét nghiệm là người dưới 18 tuổi, người mất năng lực hành vi dân sự, người có khó khăn trong nhận thức, làm chủ hành vi và người bị hạn chế năng lực hành vi dân sự;

- Người được giao nhiệm vụ trực tiếp tư vấn, thông báo kết quả xét nghiệm HIV dương tính cho người được xét nghiệm;

- Người đứng đầu cơ quan, đơn vị được giao nhiệm vụ giám sát dịch tễ học HIV/AIDS; người được giao nhiệm vụ giám sát dịch tễ học HIV/AIDS;

- Người đứng đầu, điều dưỡng viên trưởng của khoa, phòng, đơn vị khác của cơ sở y tế có người nhiễm HIV được điều trị; nhân viên y tế được giao trách nhiệm trực tiếp điều trị, chăm sóc cho người nhiễm HIV tại cơ sở y tế;

- Người đứng đầu, người phụ trách y tế, nhân viên y tế được giao nhiệm vụ trực tiếp chăm sóc sức khỏe cho người nhiễm HIV tại cơ sở giáo dục bắt buộc, trường giáo dưỡng, cơ sở cai nghiện ma túy, cơ sở bảo trợ xã hội, trại giam, trại tạm giam, nhà tạm giữ, cơ sở giam giữ khác;

- Người đứng đầu và cán bộ, công chức được giao trách nhiệm của các cơ quan quy định.

Trân trọng!"
"Hành vi kết hôn với người đã từng là cha nuôi, mẹ nuôi bị xử phạt bao nhiêu tiền?","Căn cứ tại Điều 59 Nghị định 82/2020/NĐ-CP quy định về việc xử lý hành vi vi phạm quy định về kết hôn, ly hôn và vi phạm chế độ hôn nhân một vợ, một chồng cụ thể như sau:

Hành vi vi phạm quy định về kết hôn, ly hôn và vi phạm chế độ hôn nhân một vợ, một chồng

1. Phạt tiền từ 3.000.000 đồng đến 5.000.000 đồng đối với một trong các hành vi sau:

a) Đang có vợ hoặc đang có chồng mà kết hôn với người khác, chưa có vợ hoặc chưa có chồng mà kết hôn với người mà mình biết rõ là đang có chồng hoặc đang có vợ;

b) Đang có vợ hoặc đang có chồng mà chung sống như vợ chồng với người khác;

c) Chưa có vợ hoặc chưa có chồng mà chung sống như vợ chồng với người mà mình biết rõ là đang có chồng hoặc đang có vợ;

d) Kết hôn hoặc chung sống như vợ chồng giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

đ) Cản trở kết hôn, yêu sách của cải trong kết hôn hoặc cản trở ly hôn.

...

Như vậy, đối với hành vi kết hôn với người đã từng là cha nuôi, mẹ nuôi sẽ bị phạt tiền từ 3.000.000 đến 5.000.000 đồng theo quy định của pháp luật và tùy vào mức độ nghiêm trọng của vụ việc.

Lưu ý: Mức phạt đối với hành vi này là dành cho cá nhân (tại khoản 4 Điều 4 Nghị định 82/2020/NĐ-CP )."
Hành vi kết hôn với người đã chuyển giới có phải là hành vi cấm?,"Theo quy định tại Điều 37 Bộ luật Dân sự 2015 quy định về việc chuyển đổi giới tính cụ thể như sau:

Chuyển đổi giới tính

Việc chuyển đổi giới tính được thực hiện theo quy định của luật. Cá nhân đã chuyển đổi giới tính có quyền, nghĩa vụ đăng ký thay đổi hộ tịch theo quy định của pháp luật về hộ tịch; có quyền nhân thân phù hợp với giới tính đã được chuyển đổi theo quy định của Bộ luật này và luật khác có liên quan.

Như vậy, đối với hành vi kết hôn với người đã chuyển giới không phải là hành vi cấm theo quy định của pháp luật.

Căn bản khi một người chuyển giới thì họ cũng đã có quyền và nghĩa vụ thay đổi hộ tịch. Cho nên, sau khi chuyển giới thì phải đăng ký thay đổi hộ tịch thì người chuyển giới được quyền đăng ký kết hôn với người khác giới tính khi đã hoàn thành xong thủ tục thay đổi hộ tịch và quan hệ hôn nhân này sẽ được pháp luật công nhận."
Hành vi kết hôn với người đồng giới có phải là hành vi cấm không?,"Căn cứ theo Điều 5 Luật Hôn nhân và gia đình 2014 quy định về việc bảo vệ chế độ hôn nhân và gia đình như sau:

Bảo vệ chế độ hôn nhân và gia đình

1. Quan hệ hôn nhân và gia đình được xác lập, thực hiện theo quy định của Luật này được tôn trọng và được pháp luật bảo vệ.

2. Cấm các hành vi sau đây:

a) Kết hôn giả tạo, ly hôn giả tạo;

b) Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

c) Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

d) Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

đ) Yêu sách của cải trong kết hôn;

e) Cưỡng ép ly hôn, lừa dối ly hôn, cản trở ly hôn;

g) Thực hiện sinh con bằng kỹ thuật hỗ trợ sinh sản vì mục đích thương mại, mang thai hộ vì mục đích thương mại, lựa chọn giới tính thai nhi, sinh sản vô tính;

h) Bạo lực gia đình;

i) Lợi dụng việc thực hiện quyền về hôn nhân và gia đình để mua bán người, bóc lột sức lao động, xâm phạm tình dục hoặc có hành vi khác nhằm mục đích trục lợi.

3. Mọi hành vi vi phạm pháp luật về hôn nhân và gia đình phải được xử lý nghiêm minh, đúng pháp luật.

Cơ quan, tổ chức, cá nhân có quyền yêu cầu Tòa án, cơ quan khác có thẩm quyền áp dụng biện pháp kịp thời ngăn chặn và xử lý người có hành vi vi phạm pháp luật về hôn nhân và gia đình.

4. Danh dự, nhân phẩm, uy tín, bí mật đời tư và các quyền riêng tư khác của các bên được tôn trọng, bảo vệ trong quá trình giải quyết vụ việc về hôn nhân và gia đình.

Như vậy, theo quy định trên thì hiện tại hành vi kết hôn với người đồng giới không phải là một hành vi cấm theo quy định của pháp luật. Tuy nhiên, pháp luật Việt Nam sẽ không thừa nhận hôn nhân giữa những người cùng giới tính. (căn cứ tại khoản 2 Điều 8 Luật Hôn nhân và gia đình 2014 ).

Trân trọng!"
Phải qua mấy đời họ hàng mới được kết hôn với nhau?,"Tại điểm d khoản 2 Điều 5 Luật Hôn nhân và gia đình 2014 có quy định về bảo vệ chế độ hôn nhân và gia đình trong đó cấm hành vi sau đây:

Bảo vệ chế độ hôn nhân và gia đình

1. Quan hệ hôn nhân và gia đình được xác lập, thực hiện theo quy định của Luật này được tôn trọng và được pháp luật bảo vệ.

2. Cấm các hành vi sau đây:

a) Kết hôn giả tạo, ly hôn giả tạo;

b) Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

c) Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

d) Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời ; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng;

đ) Yêu sách của cải trong kết hôn;

e) Cưỡng ép ly hôn, lừa dối ly hôn, cản trở ly hôn;

g) Thực hiện sinh con bằng kỹ thuật hỗ trợ sinh sản vì mục đích thương mại, mang thai hộ vì mục đích thương mại, lựa chọn giới tính thai nhi, sinh sản vô tính;

h) Bạo lực gia đình;

i) Lợi dụng việc thực hiện quyền về hôn nhân và gia đình để mua bán người, bóc lột sức lao động, xâm phạm tình dục hoặc có hành vi khác nhằm mục đích trục lợi.

...

Như vậy, họ hàng trong phạm vi 4 đời trở lên thì được kết hôn với nhau. Nếu có họ trong phạm vi ba đời trở xuống thì không được kết hôn."
Điều kiện được kết hôn với nhau là gì?,"Tại khoản 1 Điều 8 Luật Hôn nhân và gia đình 2014 quy định điều kiện kết hôn như sau:

Điều kiện kết hôn

1. Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

b) Việc kết hôn do nam và nữ tự nguyện quyết định;

c) Không bị mất năng lực hành vi dân sự;

d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này.

2. Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Như vậy, nam nữ được kết hôn với nhau phải đáp ứng điều kiện:

- Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

- Việc kết hôn do nam và nữ tự nguyện quyết định;

- Không bị mất năng lực hành vi dân sự;

- Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn:

+ Kết hôn giả tạo, ly hôn giả tạo;

+ Tảo hôn, cưỡng ép kết hôn, lừa dối kết hôn, cản trở kết hôn;

+ Người đang có vợ, có chồng mà kết hôn hoặc chung sống như vợ chồng với người khác hoặc chưa có vợ, chưa có chồng mà kết hôn hoặc chung sống như vợ chồng với người đang có chồng, có vợ;

+ Kết hôn hoặc chung sống như vợ chồng giữa những người cùng dòng máu về trực hệ; giữa những người có họ trong phạm vi ba đời; giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi, cha chồng với con dâu, mẹ vợ với con rể, cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng."
Có phải ly hôn muốn xác lập lại quan hệ vợ chồng thì phải đăng ký kết hôn không?,"Tại Điều 9 Luật Hôn nhân và gia đình 2014 có quy định đăng ký kết hôn như sau:

Đăng ký kết hôn

1. Việc kết hôn phải được đăng ký và do cơ quan nhà nước có thẩm quyền thực hiện theo quy định của Luật này và pháp luật về hộ tịch.

Việc kết hôn không được đăng ký theo quy định tại khoản này thì không có giá trị pháp lý.

2. Vợ chồng đã ly hôn muốn xác lập lại quan hệ vợ chồng thì phải đăng ký kết hôn.

Như vậy, khi vợ chồng đã ly hôn nếu muốn xác lập lại quan hệ vợ chồng thì bắt buộc vợ chồng phải đăng ký kết hôn tại cơ quan nhà nước có thẩm quyền.

Trân trọng!"
Điều kiện để kết hôn là gì?,"Theo quy định tại Điều 8 Luật Hôn nhân và gia đình 2014 về điều kiện kết hôn như sau:

Điều kiện kết hôn

1. Nam, nữ kết hôn với nhau phải tuân theo các điều kiện sau đây:

a) Nam từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên;

b) Việc kết hôn do nam và nữ tự nguyện quyết định;

c) Không bị mất năng lực hành vi dân sự;

d) Việc kết hôn không thuộc một trong các trường hợp cấm kết hôn theo quy định tại các điểm a, b, c và d khoản 2 Điều 5 của Luật này.

2. Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.

Như vậy, hiện nay Nhà nước không thừa nhận hôn nhân giữa những người đồng giới, nên điều kiện đầu tiên là việc kết hôn phải xuất phát từ hai phía nam và nữ.

Quy định về điều kiện kết hôn phải tuân theo các điều kiện sau:

- Nam nữ từ đủ 20 tuổi trở lên, nữ từ đủ 18 tuổi trở lên

- Việc kết hôn phải do hai bên tự nguyện quyết định

- Nam, nữ hoặc cả hai không bị mất năng lực hành vi dân sự

- Việc kết hôn không thuộc các trường hợp bị cấm như sau:

+ Người đang có vợ, có chồng mà kết hôn với người khác hoặc ngược lại người chưa có vợ, có chồng mà kết hôn với người đang có chồng, có vợ.

+ Kết hôn giữa những người cùng dòng máu về trực hệ;

+ Giữa những người có họ trong phạm vi ba đời;

+ Giữa cha, mẹ nuôi với con nuôi; giữa người đã từng là cha, mẹ nuôi với con nuôi,

+ Giữa cha chồng với con dâu, mẹ vợ với con rể,

+ Giữa cha dượng với con riêng của vợ, mẹ kế với con riêng của chồng."
